id_row,Country Code ISO3,Trade,Year,Amount,Product Classification EN,Country,Region,Latitude,Longitude
212,NA,Export,2022,0.0,Vegetable Products,Netherlands Antilles,Americas,0.0,0.0
213,NA,Import,2022,0.0,Vegetable Products,Netherlands Antilles,Americas,0.0,0.0
214,NA,Export,2022,0.0,Fats and Oils,Netherlands Antilles,Americas,0.0,0.0
215,NA,Import,2022,0.0,Fats and Oils,Netherlands Antilles,Americas,0.0,0.0
216,NA,Export,2022,0.0,"Beverages, Spirits, Tobacco",Netherlands Antilles,Americas,0.0,0.0
217,NA,Import,2022,0.0,"Beverages, Spirits, Tobacco",Netherlands Antilles,Americas,0.0,0.0
218,NA,Export,2022,0.0,Mineral Products,Netherlands Antilles,Americas,0.0,0.0
219,NA,Import,2022,0.0,Mineral Products,Netherlands Antilles,Americas,0.0,0.0
220,NA,Export,2022,0.0,Products of chemical or Allied Industries,Netherlands Antilles,Americas,0.0,0.0
221,NA,Import,2022,0.0,Products of chemical or Allied Industries,Netherlands Antilles,Americas,0.0,0.0
222,NA,Export,2022,0.0,Plastics and Rubber,Netherlands Antilles,Americas,0.0,0.0
223,NA,Import,2022,0.0,Plastics and Rubber,Netherlands Antilles,Americas,0.0,0.0
224,NA,Export,2022,0.0,"Travel Goods, Handbags, Leather",Netherlands Antilles,Americas,0.0,0.0
225,NA,Import,2022,0.0,"Travel Goods, Handbags, Leather",Netherlands Antilles,Americas,0.0,0.0
226,NA,Export,2022,0.0,"Wood, Cork, Wood Charcoal",Netherlands Antilles,Americas,0.0,0.0
227,NA,Import,2022,0.0,"Wood, Cork, Wood Charcoal",Netherlands Antilles,Americas,0.0,0.0
228,NA,Export,2022,0.0,"Pulp of Wood, Paper",Netherlands Antilles,Americas,0.0,0.0
229,NA,Import,2022,0.0,"Pulp of Wood, Paper",Netherlands Antilles,Americas,0.0,0.0
230,NA,Export,2022,0.0,Textiles,Netherlands Antilles,Americas,0.0,0.0
231,NA,Import,2022,0.0,Textiles,Netherlands Antilles,Americas,0.0,0.0
232,NA,Export,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Netherlands Antilles,Americas,0.0,0.0
233,NA,Import,2022,0.0,"Footwear, Headgear, Umbrellas, Walking Sticks",Netherlands Antilles,Americas,0.0,0.0
234,NA,Export,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Netherlands Antilles,Americas,0.0,0.0
235,NA,Import,2022,0.0,"Stone, Plaster, Cement, Ceramic, Glass",Netherlands Antilles,Americas,0.0,0.0
236,NA,Export,2022,0.0,"Precious Materials, Pearls, Precious Stones",Netherlands Antilles,Americas,0.0,0.0
237,NA,Import,2022,0.0,"Precious Materials, Pearls, Precious Stones",Netherlands Antilles,Americas,0.0,0.0
238,NA,Export,2022,0.0,Base Metal,Netherlands Antilles,Americas,0.0,0.0
239,NA,Import,2022,0.0,Base Metal,Netherlands Antilles,Americas,0.0,0.0
240,NA,Export,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Netherlands Antilles,Americas,0.0,0.0
241,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Netherlands Antilles,Americas,0.0,0.0
242,NA,Export,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Netherlands Antilles,Americas,0.0,0.0
243,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Netherlands Antilles,Americas,0.0,0.0
244,NA,Export,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Netherlands Antilles,Americas,0.0,0.0
245,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Netherlands Antilles,Americas,0.0,0.0
246,NA,Export,2022,0.0,Arms and Ammunition,Netherlands Antilles,Americas,0.0,0.0
247,NA,Import,2022,0.0,Arms and Ammunition,Netherlands Antilles,Americas,0.0,0.0
248,NA,Export,2022,0.0,Miscellaneous,Netherlands Antilles,Americas,0.0,0.0
249,NA,Import,2022,0.0,Miscellaneous,Netherlands Antilles,Americas,0.0,0.0
250,NA,Export,2022,0.0,Art and Antiques,Netherlands Antilles,Americas,0.0,0.0
251,NA,Import,2022,0.0,Art and Antiques,Netherlands Antilles,Americas,0.0,0.0
252,NA,Export,2022,0.0,Animals and Products,American Oceania,Oceania,0.0,0.0
253,NA,Import,2022,0.0,Animals and Products,American Oceania,Oceania,0.0,0.0
254,NA,Export,2022,0.0,Animals and Products,Australian Oceania,Oceania,0.0,0.0
255,NA,Import,2022,0.0,Animals and Products,Australian Oceania,Oceania,0.0,0.0
256,NA,Export,2022,0.0,Animals and Products,Polar Regions,Antarctica,0.0,0.0
257,NA,Import,2022,0.0,Animals and Products,Polar Regions,Antarctica,0.0,0.0
258,NA,Export,2022,0.0,Animals and Products,New zealandian Oceania,Oceania,0.0,0.0
259,NA,Import,2022,0.0,Animals and Products,New zealandian Oceania,Oceania,0.0,0.0
260,NA,Export,2022,0.0,Vegetable Products,American Oceania,Oceania,0.0,0.0
261,NA,Import,2022,0.0,Vegetable Products,American Oceania,Oceania,0.0,0.0
262,NA,Export,2022,0.0,Vegetable Products,Australian Oceania,Oceania,0.0,0.0
263,NA,Import,2022,0.0,Vegetable Products,Australian Oceania,Oceania,0.0,0.0
264,NA,Export,2022,0.0,Vegetable Products,Polar Regions,Antarctica,0.0,0.0
265,NA,Import,2022,0.0,Vegetable Products,Polar Regions,Antarctica,0.0,0.0
266,NA,Export,2022,0.0,Vegetable Products,New zealandian Oceania,Oceania,0.0,0.0
267,NA,Import,2022,0.0,Vegetable Products,New zealandian Oceania,Oceania,0.0,0.0
