id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
702,200804,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
703,200804,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.96999979019165,262.0
704,200805,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.36999988555908,1337.0
705,200805,Households,Loans for consumption,Over 5 years,NA,4.98000001907349,26.0
706,200805,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.03999996185303,11947.0
707,200805,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.80999994277954,1592.0
708,200805,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
709,200805,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
710,200805,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.96000003814697,8567.0
711,200805,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.95000004768372,24885.0
712,200805,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.48000001907349,23.0
713,200805,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.8600001335144,206.0
714,200805,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
715,200806,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.8600001335144,20.0
716,200806,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.84999990463257,1374.0
717,200806,Households,Loans for consumption,Over 5 years,NA,4.82000017166138,20.0
718,200806,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
719,200806,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.05999994277954,8570.0
720,200806,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
721,200806,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
722,200806,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.07000017166138,25573.0
723,200806,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,5.0,258.0
